Frame,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
103,2.295331,2.295331,0.982207,0.972931,0.956779,0.976377,0.995388,0.750572,0.958421,0.981174,0.990483,94.792879,
104,2.404721,2.440164,0.986975,0.978766,0.968029,0.985388,0.995727,0.791409,0.979398,0.991391,0.995553,96.915504,
105,2.336589,2.404721,0.982824,0.976063,0.956150,0.976951,0.995686,0.755023,0.958024,0.981195,0.990738,94.998933,
106,2.336589,2.336589,0.981884,0.974323,0.959893,0.976730,0.993278,0.750209,0.952853,0.978847,0.989430,94.568454,
107,2.628061,2.628061,0.982248,0.974759,0.957884,0.975190,0.995184,0.733245,0.950005,0.978082,0.989235,94.964629,
108,3.004901,3.004901,0.986586,0.977106,0.970205,0.984438,0.994917,0.794476,0.978457,0.990947,0.995241,97.557281,
109,3.257765,3.257765,0.979613,0.970583,0.956098,0.972317,0.992323,0.744392,0.947005,0.974935,0.987023,94.864161,
110,3.513668,3.513668,0.977552,0.968366,0.952479,0.970027,0.990751,0.731720,0.942947,0.972794,0.985750,94.530186,
111,3.600505,3.600505,0.979788,0.972640,0.958351,0.971359,0.991933,0.738195,0.944668,0.974014,0.986656,95.256551,
112,3.609021,3.609021,0.986798,0.979272,0.970619,0.983353,0.995082,0.801047,0.980445,0.991868,0.995780,98.474109,
113,3.635442,3.642573,0.979576,0.968837,0.951465,0.973340,0.993376,0.728776,0.945980,0.974706,0.986790,95.299544,
114,3.635442,3.635442,0.979078,0.969625,0.951628,0.972234,0.992575,0.734577,0.947520,0.975501,0.987202,95.264252,
115,3.708453,4.018439,0.979868,0.971221,0.953881,0.972835,0.992698,0.740073,0.949568,0.976391,0.987393,95.589612,
116,3.233191,3.708453,0.987139,0.976119,0.966923,0.986638,0.995847,0.787375,0.979998,0.991945,0.995903,98.074160,
117,2.525091,3.233191,0.979713,0.967396,0.955548,0.973244,0.992647,0.726660,0.948074,0.976159,0.987748,94.075407,
118,2.449050,2.525091,0.979840,0.969477,0.955361,0.972050,0.992964,0.726061,0.942964,0.973469,0.986510,93.772882,
119,2.244818,2.449050,0.982145,0.970777,0.953643,0.975704,0.995853,0.715350,0.943174,0.973909,0.986602,94.044678,
120,2.048128,2.244818,0.988186,0.978004,0.970700,0.987176,0.995924,0.790717,0.981049,0.992488,0.996305,96.833250,
121,1.838580,2.048128,0.980715,0.970175,0.951298,0.973821,0.994706,0.709660,0.940716,0.973221,0.987037,93.216620,
122,1.838580,1.838580,0.979785,0.966698,0.951010,0.974270,0.993413,0.697899,0.936730,0.970903,0.985297,92.771267,
123,1.873164,1.882782,0.980162,0.966091,0.952999,0.973020,0.994223,0.716814,0.944198,0.974173,0.986776,93.168621,
124,1.692503,1.873164,0.988795,0.974971,0.970390,0.987467,0.997561,0.787655,0.980248,0.992025,0.995972,96.450914,
125,1.692503,1.692503,0.978913,0.964075,0.949821,0.971405,0.993694,0.708534,0.939007,0.971321,0.984975,92.388163,
126,1.858172,1.858172,0.981046,0.970042,0.955096,0.974418,0.993608,0.724192,0.942012,0.972708,0.985912,93.196829,
127,2.013712,2.013712,0.981691,0.969289,0.954888,0.976434,0.994046,0.735238,0.949540,0.976876,0.988414,93.937942,
128,2.289778,2.289778,0.984830,0.970840,0.963455,0.982703,0.994625,0.755709,0.969497,0.987188,0.993458,95.903845,
129,2.261826,2.488395,0.981513,0.968567,0.957211,0.975307,0.993793,0.733311,0.947359,0.975233,0.987315,94.050480,
130,2.261826,2.261826,0.981641,0.967416,0.955127,0.976290,0.994320,0.725092,0.940419,0.971498,0.985019,93.712383,
131,2.280771,2.344884,0.979322,0.962538,0.953105,0.970710,0.994180,0.709529,0.936524,0.970083,0.984908,93.158577,
132,2.280771,2.280771,0.986411,0.971577,0.966592,0.985594,0.995353,0.765804,0.970260,0.987255,0.993500,96.244381,
133,2.392262,2.392262,0.979644,0.965193,0.954830,0.974128,0.991921,0.721161,0.938432,0.970312,0.984772,93.369321,
134,2.555200,2.555200,0.978044,0.960389,0.952959,0.972368,0.991182,0.704286,0.932437,0.967290,0.982711,92.923473,
135,2.546729,2.756978,0.979433,0.963135,0.953065,0.974801,0.992209,0.716800,0.937649,0.970289,0.984667,93.509679,
136,2.513038,2.546729,0.986449,0.969602,0.966939,0.987043,0.994975,0.760272,0.968396,0.986700,0.993397,96.511644,
137,2.513038,2.513038,0.980759,0.965178,0.956222,0.977334,0.992198,0.710806,0.938218,0.971650,0.985951,93.920263,
138,2.572239,2.655812,0.983146,0.969265,0.958426,0.977173,0.995649,0.729951,0.943949,0.974114,0.987155,94.728588,
139,2.572239,2.572239,0.983368,0.967540,0.961223,0.977507,0.995645,0.740227,0.948225,0.976292,0.988287,94.974654,
140,2.843708,2.887746,0.986633,0.968045,0.968778,0.987825,0.994968,0.752029,0.966672,0.985937,0.993053,96.907215,
141,2.833979,2.843708,0.982212,0.966777,0.960397,0.976694,0.994429,0.737694,0.945775,0.974454,0.986994,94.864998,
142,2.833979,2.833979,0.982967,0.963155,0.961482,0.979221,0.995377,0.729452,0.944082,0.973403,0.986095,94.907148,
143,3.070217,3.070217,0.977889,0.957350,0.955705,0.975289,0.990449,0.700832,0.939147,0.971423,0.985058,93.925872,
144,3.270736,3.506684,0.986204,0.967561,0.971775,0.985438,0.995432,0.762504,0.967227,0.986065,0.993179,97.376662,
145,3.140173,3.270736,0.977836,0.959816,0.953342,0.976510,0.990341,0.696670,0.938096,0.970691,0.984700,93.939550,
146,3.140173,3.140173,0.977262,0.961664,0.954541,0.975407,0.989291,0.717267,0.940020,0.970655,0.984315,93.783042,
147,2.709818,3.222850,0.976143,0.961643,0.955799,0.974464,0.987670,0.717484,0.947533,0.975460,0.987544,93.489386,
148,2.709818,2.709818,0.985783,0.969366,0.969532,0.987653,0.994733,0.744333,0.967136,0.986048,0.993012,96.555423,
149,2.734612,2.734612,0.978000,0.962645,0.954945,0.978005,0.990079,0.717092,0.945339,0.974347,0.986969,93.821704,
150,2.469175,2.802504,0.978668,0.960731,0.958401,0.981513,0.988838,0.719374,0.947093,0.974998,0.987012,93.667329,
151,2.469175,2.469175,0.976188,0.958182,0.954889,0.977869,0.987696,0.698474,0.943341,0.973554,0.986081,92.989866,
152,2.582395,2.582704,0.986172,0.964627,0.966849,0.991024,0.995762,0.742414,0.965264,0.984915,0.992296,96.362282,
153,2.487955,2.582395,0.978813,0.960303,0.958968,0.977860,0.991128,0.710731,0.945662,0.975101,0.987593,93.772268,
154,2.487955,2.487955,0.976336,0.956311,0.949505,0.977729,0.989330,0.694229,0.942367,0.973230,0.986294,93.047653,
155,2.295420,2.519078,0.976590,0.958161,0.951861,0.978390,0.988588,0.700405,0.943939,0.974471,0.987150,92.983355,
156,2.295420,2.295420,0.985854,0.970031,0.963473,0.988732,0.995330,0.725691,0.963269,0.984221,0.991976,95.866235,
157,2.741339,33.597172,0.976441,0.940902,0.958981,0.980481,0.992315,0.718146,0.971518,0.986855,0.992258,94.561012,
158,2.315704,2.741339,0.950140,0.904688,0.911104,0.951992,0.980008,0.653192,0.926361,0.962433,0.978543,86.091685,
